o_id,name,slug,description,url,retail_price,store,brand,episode,season,show,character,image_cover_picture,image_picture_1,image_picture_2,image_picture_3,type,color,tags,recommended_products
ObjectID(5270b45d02c82d7c42000008),"Black and White Stripe Shirt","Black-and-White-Stripe-Sh","White button-front dress shirt with spaced black stripes.","http://www.menswearhouse.com/mens-clothes/dress-shirts/modern-fit-trim-shirts/joseph-feiss-black-stripe-modern-fit-dress-shirt-512C513C86 ","69.99","Men's Wearhouse","Joseph & Feiss",12,5,"White Collar","Neal Caffrey",,,,,"Shirt","White","[ ""White_Collar"", "" Neal"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270b48e02c82d3679000003),"Navy Birdseye Slim Fit Suit","Navy-Birdseye-Slim-Fit-Su","Two-piece single-breasted wool suit in navy blue birdseye.","http://www.houseoffraser.co.uk/Paul+Smith+London+Byard+birdseye+slim+fit+suit/183033863,default,pd.html?cm_mmc=AWIN-_-Men-_-Suits+%26+Tailoring-_-Byard+birdseye+slim+fit+suit?cm_mmc=AWIN-_-104504-_-Deeplink-_-Generic&clickref=7088521&_$ja=tsid:45090%7Ckw:Lyst%7Ccgn:104504&awinDCS=3100_1381781678_aee7efef2d8a88aa1584fe3f78bd6fed%7C%7C0%7C%7C0%7C%7C0%7C%7C7088521&awc=3100_1381781678_aee7efef2d8a88aa1584fe3f78bd6fed ","909.00","House of Fraser","Paul Smith",12,5,"White Collar","Neal Caffrey",,,,,"Suit","Blue","[ ""White_Collar"", "" Neal"", "" Suit"" ]",
ObjectID(5270b4ff02c82d7c42000009),"Navy Multistripe Suit","Navy-Multistripe-Suit","Navy twill wool pinstripe suit.","http://www.menswearhouse.com/mens-suits/modern-fit-trim-suits/pronto-uomo-navy-multistripe-suit-3236324041 ","329.99","Men's Wearhouse","Pronto Uomo",12,5,"White Collar","Peter Burke",,,,,"Suit","Blue","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Suit"" ]",
ObjectID(5270b55702c82d6f18000007),"Roller Buckle Belt","Roller-Buckle-Belt","Brown leather belt with roller buckle and double carrier.","http://www.ralphlauren.com/product/index.jsp?productId=22737996&cp=1760781.2877586&fbn=GenericColor%7CBrown&fbc=1&f=GenericColor%2FPOLO%2FBrown&parentPage=family&selectedColor=Brown ","65.00","Ralph Lauren","Ralph Lauren",12,5,"White Collar","Peter Burke",,,,,"Belt","Brown","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Belt"" ]",
ObjectID(5270b58602c82d76ca000002),"Cognac Cap Toe Oxfords","Cognac-Cap-Toe-Oxfords","Cognac cap toe lace up oxfords in Italian leather.","http://www1.macys.com/shop/product/johnston-murphy-shoes-knowland-cap-toe-lace-up-shoes?ID=658495&CategoryID=55639&LinkType=&swatchColor=Mahogany#fn=COLOR%3DBrown%26SHOE_TYPE%3DCap%20Toe%26sp%3D1%26spc%3D21%26ruleId%3D66%26slotId%3D13 ","129.98","Macys","Johnston & Murphy",12,5,"White Collar","Peter Burke",,,,,"Shoes","Brown","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Shoes"" ]",
ObjectID(5270b5bb02c82d6f18000008),"Gray Herringbone Wool Suit","Gray-Herringbone-Wool-Sui","Gray herringbone weave suit with subtle pinstripes.","http://www.josbank.com/menswear/shop/Product_11001_10050_378200 ","1295.00","Jos A. Bank","Jos A. Bank",12,5,"White Collar","Peter Burke",,,,,"Suit","Gray","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Suit"" ]",
ObjectID(5270b60d02c82d3679000004),"Navy Medallion Tie","Navy-Medallion-Tie","Navy silk tie with pale blue medallions and mini-squares.","http://www.brooksbrothers.com/Golden-Fleece®-Circle-Medallion-Print-Seven-Fold-Tie/MA01176,default,pd.html?dwvar_MA01176_Color=BLUE&contentpos=34&cgid=0210 ","175.00","Brooks Brothers","Brooks Brothers",12,5,"White Collar","Peter Burke",,,,,"Tie","Blue","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Tie"" ]",
ObjectID(5270b67002c82d76ca000003),"Blue and White Spaced Pinstripe Shirt","Blue-and-White-Spaced-Pin","Pale blue dress shirt with white spaced pinstripes.","http://shop.nordstrom.com/S/nordstrom-classic-fit-non-iron-dress-shirt/3474372?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=BLUE&resultback=1910&cm_sp=personalizedsort-_-browseresults-_-1_6_C ","49.50","Nordstrom","Nordstrom",12,5,"White Collar","Peter Burke",,,,,"Shirt","Blue","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270b6c102c82d6070000006),"Gray and Blue Running Shoes","Gray-and-Blue-Running-Sho","Gray running shoes with blue treads and silver laces.","http://www.newbalance.com/New-Balance-2040/M2040,default,pd.html?dwvar_M2040_color=Grey_with_Blue_and_Silver&start=5&cgid=101000&prefn1=color&prefv1=Silver ","274.99","New Balance","New Balance",12,5,"White Collar","Peter Burke",,,,,"Shoes","Gray","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Shoes"" ]",
ObjectID(5270b71e02c82d39a2000003),"Navy Herringbone Weave Suit","Navy-Herringbone-Weave-Su","Two-piece navy blue suit in self-herringbone weave.","http://www1.macys.com/shop/product/alfani-suit-blue-herringbone?ID=880137&CategoryID=22610#fn=COLOR%3DBlue%26sp%3D1%26spc%3D40%26ruleId%3D78%26slotId%3D9 ","495.00","Macys","Alfani",12,5,"White Collar","Peter Burke",,,,,"Suit","Blue","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Suit"" ]",
